Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.3111111111111111,0.875,0.45901639344262296,0.547945205479452,0.5074626865671642,67
cautious1,fora,0.3709677419354839,0.7419354838709677,0.4946236559139785,0.37333333333333335,0.44047619047619047,84
cautious1,iq2,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.625,0.5652173913043478,69
cautious1,umod,0.13333333333333333,0.4,0.2,0.6666666666666666,0.5294117647058824,34
cautious1,whow,0.4166666666666667,0.47619047619047616,0.4444444444444444,0.7126436781609196,0.6212121212121212,66
cautious1,wikitactics,0.6666666666666666,0.4827586206896552,0.56,0.8,0.725,80
cautious1,All,0.3850850375992691,0.5932029856807387,0.44014051908178353,0.6209314806067286,0.5647966923776176,400
cautious2,ceri,0.30434782608695654,0.875,0.45161290322580644,0.5277777777777778,0.4925373134328358,67
cautious2,fora,0.375,0.7741935483870968,0.5052631578947369,0.3561643835616438,0.44047619047619047,84
cautious2,iq2,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.625,0.5652173913043478,69
cautious2,umod,0.125,0.4,0.19047619047619047,0.6382978723404256,0.5,34
cautious2,whow,0.43333333333333335,0.6190476190476191,0.5098039215686274,0.691358024691358,0.6212121212121212,66
cautious2,wikitactics,0.6666666666666666,0.4827586206896552,0.56,0.8,0.725,80
cautious2,All,0.3860187553282182,0.622388853576284,0.44998579897583607,0.6064330097285343,0.5574071694042492,400
concise,ceri,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.6296296296296297,0.5555555555555556,45
concise,fora,0.3877551020408163,0.7307692307692307,0.5066666666666667,0.44776119402985076,0.4788732394366197,71
concise,iq2,0.46153846153846156,0.375,0.41379310344827586,0.7213114754098361,0.6222222222222222,45
concise,umod,0.0,0.0,0.0,0.6285714285714286,0.4583333333333333,24
concise,whow,0.5555555555555556,0.3125,0.4,0.782608695652174,0.6808510638297872,47
concise,wikitactics,0.7857142857142857,0.4074074074074074,0.5365853658536586,0.8288288288288288,0.75,76
concise,All,0.42569996141424715,0.39951753493420156,0.3835815967355076,0.6731185420202913,0.5909725690629197,308
descriptive,ceri,0.2830188679245283,0.9375,0.43478260869565216,0.3389830508474576,0.390625,64
descriptive,fora,0.39655172413793105,0.7419354838709677,0.5168539325842697,0.45569620253164556,0.4880952380952381,84
descriptive,iq2,0.38,0.7916666666666666,0.5135135135135135,0.4375,0.4782608695652174,69
descriptive,umod,0.1111111111111111,0.4,0.17391304347826086,0.5581395348837209,0.42424242424242425,33
descriptive,whow,0.3888888888888889,0.6666666666666666,0.49122807017543857,0.6027397260273972,0.5538461538461539,65
descriptive,wikitactics,0.391304347826087,0.6206896551724138,0.48,0.5411764705882353,0.5125,80
descriptive,All,0.3251458233147577,0.6930764120627858,0.4350485280745225,0.48903916414640936,0.47459494762483895,395
role,ceri,0.34782608695652173,0.8888888888888888,0.5,0.5294117647058824,0.5151515151515151,33
role,fora,0.375,0.84,0.5185185185185185,0.23529411764705882,0.4090909090909091,66
role,iq2,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.5806451612903226,0.5666666666666667,30
role,umod,0.125,0.3333333333333333,0.18181818181818182,0.5263157894736842,0.4,15
role,whow,0.5,0.6363636363636364,0.56,0.7317073170731707,0.6666666666666666,33
role,wikitactics,0.6,0.631578947368421,0.6153846153846154,0.810126582278481,0.7457627118644068,59
role,All,0.3987117552334944,0.6762395888711678,0.48790757560872505,0.5689167887447666,0.5505564115733607,236
