VariantA,VariantB,N,AgreementRate,b_A1_B0,c_A0_B1
cautious1,cautious2,392,0.9719387755102041,8,3
cautious1,concise,295,0.7762711864406779,57,9
cautious1,descriptive,313,0.7412140575079872,79,2
cautious1,role,348,0.8074712643678161,46,21
cautious2,concise,296,0.7668918918918919,56,13
cautious2,descriptive,314,0.7452229299363057,78,2
cautious2,role,349,0.7936962750716332,46,26
concise,descriptive,236,0.7372881355932204,45,17
concise,role,266,0.8383458646616542,18,25
descriptive,role,277,0.7436823104693141,16,55
