Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.2916666666666667,0.875,0.4375,0.47058823529411764,0.45454545454545453,66
cautious1,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
cautious1,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
cautious1,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
cautious1,whow,0.31666666666666665,0.9047619047619048,0.4691358024691358,0.1568627450980392,0.3484848484848485,66
cautious1,wikitactics,0.5384615384615384,0.7241379310344828,0.6176470588235294,0.717391304347826,0.675,80
cautious1,All,0.3412453015394192,0.7982306177940216,0.4683528216894071,0.4243479693034327,0.472341103766935,399
cautious2,ceri,0.3,0.9375,0.45454545454545453,0.41935483870967744,0.4375,64
cautious2,fora,0.3972602739726027,0.9354838709677419,0.5576923076923077,0.28125,0.4523809523809524,84
cautious2,iq2,0.3148148148148148,0.7083333333333334,0.4358974358974359,0.26666666666666666,0.36231884057971014,69
cautious2,umod,0.15789473684210525,0.6,0.25,0.5909090909090909,0.47058823529411764,34
cautious2,whow,0.3220338983050847,0.9047619047619048,0.475,0.19230769230769232,0.36363636363636365,66
cautious2,wikitactics,0.5238095238095238,0.7586206896551724,0.6197183098591549,0.6966292134831461,0.6625,80
cautious2,All,0.3359688746240219,0.8074499664530256,0.46547558466572553,0.40785291701271226,0.4581540653151907,397
concise,ceri,0.3333333333333333,0.75,0.46153846153846156,0.65,0.5757575757575758,66
concise,fora,0.390625,0.8064516129032258,0.5263157894736842,0.3283582089552239,0.4444444444444444,81
concise,iq2,0.3409090909090909,0.6521739130434783,0.44776119402985076,0.463768115942029,0.45588235294117646,68
concise,umod,0.25,0.6,0.35294117647058826,0.7843137254901961,0.6764705882352942,34
concise,whow,0.325,0.6842105263157895,0.4406779661016949,0.49230769230769234,0.46774193548387094,62
concise,wikitactics,0.5925925925925926,0.5517241379310345,0.5714285714285714,0.7692307692307693,0.7,80
concise,All,0.3720766694725028,0.6740933650322547,0.4667771931738085,0.5813297519876518,0.553382816143727,391
descriptive,ceri,0.2894736842105263,0.6875,0.4074074074074074,0.6,0.5223880597014925,67
descriptive,fora,0.39655172413793105,0.7419354838709677,0.5168539325842697,0.45569620253164556,0.4880952380952381,84
descriptive,iq2,0.2857142857142857,0.43478260869565216,0.3448275862068966,0.5,0.43283582089552236,67
descriptive,umod,0.23076923076923078,0.6,0.3333333333333333,0.76,0.6470588235294118,34
descriptive,whow,0.3,0.45,0.36,0.5789473684210527,0.49206349206349204,63
descriptive,wikitactics,0.6521739130434783,0.5357142857142857,0.5882352941176471,0.8,0.7307692307692307,78
descriptive,All,0.35911380631257533,0.5749887297134842,0.4251095922749257,0.6157739284921164,0.5522017775090646,393
role,ceri,0.3142857142857143,0.6875,0.43137254901960786,0.6233766233766234,0.546875,64
role,fora,0.3958333333333333,0.6333333333333333,0.48717948717948717,0.5454545454545454,0.5180722891566265,83
role,iq2,0.42857142857142855,0.6521739130434783,0.5172413793103449,0.6410256410256411,0.5882352941176471,68
role,umod,0.15384615384615385,0.4,0.2222222222222222,0.6956521739130435,0.5625,32
role,whow,0.3333333333333333,0.42857142857142855,0.375,0.6341463414634146,0.5384615384615384,65
role,wikitactics,0.7058823529411765,0.41379310344827586,0.5217391304347826,0.8,0.717948717948718,78
role,All,0.38862538605185665,0.5358952963994194,0.4257924613610742,0.6566092208722113,0.5786821399474217,390
