VariantA,VariantB,N,AgreementRate,b_A1_B0,c_A0_B1
cautious1,cautious2,397,0.9722921914357683,3,8
cautious1,concise,390,0.8076923076923077,69,6
cautious1,descriptive,392,0.7602040816326531,91,3
cautious1,role,389,0.6889460154241646,116,5
cautious2,concise,388,0.8067010309278351,71,4
cautious2,descriptive,390,0.7564102564102564,94,1
cautious2,role,387,0.6950904392764858,117,1
concise,descriptive,384,0.859375,38,16
concise,role,381,0.7847769028871391,64,18
descriptive,role,383,0.814621409921671,48,23
