Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.2777777777777778,0.9375,0.42857142857142855,0.375,0.40298507462686567,67
cautious1,fora,0.36,0.5806451612903226,0.4444444444444444,0.4827586206896552,0.4642857142857143,84
cautious1,iq2,0.3333333333333333,0.5416666666666666,0.4126984126984127,0.5066666666666667,0.463768115942029,69
cautious1,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
cautious1,whow,0.42857142857142855,0.5714285714285714,0.4897959183673469,0.6987951807228916,0.6212121212121212,66
cautious1,wikitactics,0.5,0.6206896551724138,0.5538461538461539,0.6947368421052632,0.6375,80
cautious1,All,0.34994708994708995,0.6419883424263291,0.4382260596546311,0.5777151072529684,0.5296643866973962,400
cautious2,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
cautious2,fora,0.37254901960784315,0.6129032258064516,0.4634146341463415,0.4883720930232558,0.47619047619047616,84
cautious2,iq2,0.35,0.5833333333333334,0.4375,0.5135135135135135,0.4782608695652174,69
cautious2,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
cautious2,whow,0.41935483870967744,0.6190476190476191,0.5,0.675,0.6060606060606061,66
cautious2,wikitactics,0.5,0.5862068965517241,0.5396825396825397,0.7010309278350515,0.6375,80
cautious2,All,0.3550608994631765,0.6564985124565214,0.4469622740695194,0.5850820486579299,0.5365138444715782,400
concise,ceri,0.358974358974359,0.875,0.509090909090909,0.6582278481012658,0.5970149253731343,67
concise,fora,0.40350877192982454,0.7419354838709677,0.5227272727272727,0.475,0.5,84
concise,iq2,0.25806451612903225,0.3333333333333333,0.2909090909090909,0.5301204819277109,0.43478260869565216,69
concise,umod,0.15384615384615385,0.4,0.2222222222222222,0.72,0.5882352941176471,34
concise,whow,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.5454545454545454,66
concise,wikitactics,0.5625,0.3333333333333333,0.4186046511627907,0.7787610619469026,0.6794871794871795,78
concise,All,0.33710134776560924,0.4948860727086533,0.3748780719710952,0.6381293431070909,0.557495758854693,398
descriptive,ceri,0.2857142857142857,1.0,0.4444444444444444,0.3548387096774194,0.40298507462686567,67
descriptive,fora,0.40476190476190477,0.5483870967741935,0.4657534246575342,0.5894736842105263,0.5357142857142857,84
descriptive,iq2,0.3902439024390244,0.6666666666666666,0.49230769230769234,0.547945205479452,0.5217391304347826,69
descriptive,umod,0.14285714285714285,0.6,0.23076923076923078,0.5238095238095238,0.4117647058823529,34
descriptive,whow,0.4444444444444444,0.5714285714285714,0.5,0.7142857142857143,0.6363636363636364,66
descriptive,wikitactics,0.4888888888888889,0.7586206896551724,0.5945945945945946,0.6511627906976745,0.625,80
descriptive,All,0.3594850948509485,0.6908505040874341,0.45464489779558276,0.5635859380267184,0.5222611388369872,400
role,ceri,0.4,0.5,0.4444444444444444,0.7959183673469388,0.7014925373134329,67
role,fora,0.4358974358974359,0.5483870967741935,0.4857142857142857,0.6326530612244898,0.5714285714285714,84
role,iq2,0.23529411764705882,0.16666666666666666,0.1951219512195122,0.6597938144329897,0.5217391304347826,69
role,umod,0.125,0.2,0.15384615384615385,0.8,0.6764705882352942,34
role,whow,0.5,0.19047619047619047,0.27586206896551724,0.7961165048543689,0.6818181818181818,66
role,wikitactics,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.7903225806451613,0.6708860759493671,79
role,All,0.3938097033685269,0.2913978494623656,0.29838050363949536,0.7458007214173249,0.6373058475299382,399
