VariantA,VariantB,N,AgreementRate,b_A1_B0,c_A0_B1
cautious1,cautious2,384,0.9661458333333334,8,5
cautious1,concise,332,0.7560240963855421,5,76
cautious1,descriptive,383,0.587467362924282,5,153
cautious1,role,338,0.7751479289940828,71,5
cautious2,concise,329,0.7598784194528876,4,75
cautious2,descriptive,378,0.5846560846560847,5,152
cautious2,role,334,0.7904191616766467,64,6
concise,descriptive,331,0.8157099697885196,10,51
concise,role,301,0.5980066445182725,120,1
descriptive,role,338,0.4230769230769231,191,4
