Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.25,0.9375,0.39473684210526316,0.17857142857142858,0.30303030303030304,66
dual1,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
dual1,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.19230769230769232,0.391304347826087,69
dual1,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
dual1,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
dual1,wikitactics,0.3384615384615385,0.8148148148148148,0.4782608695652174,0.22580645161290322,0.37662337662337664,77
dual1,All,0.31149166094218034,0.9261410508050293,0.4608547938835521,0.24936270577187383,0.3826515910914887,395
dual2,ceri,0.25,0.9375,0.39473684210526316,0.17857142857142858,0.30303030303030304,66
dual2,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
dual2,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.19230769230769232,0.391304347826087,69
dual2,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
dual2,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
dual2,wikitactics,0.3384615384615385,0.8148148148148148,0.4782608695652174,0.22580645161290322,0.37662337662337664,77
dual2,All,0.31149166094218034,0.9261410508050293,0.4608547938835521,0.24936270577187383,0.3826515910914887,395
dual3,ceri,0.25,0.9375,0.39473684210526316,0.17857142857142858,0.30303030303030304,66
dual3,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
dual3,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.19230769230769232,0.391304347826087,69
dual3,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
dual3,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
dual3,wikitactics,0.3384615384615385,0.8148148148148148,0.4782608695652174,0.22580645161290322,0.37662337662337664,77
dual3,All,0.31149166094218034,0.9261410508050293,0.4608547938835521,0.24936270577187383,0.3826515910914887,395
dual4,ceri,0.25,0.9375,0.39473684210526316,0.17857142857142858,0.30303030303030304,66
dual4,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
dual4,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.19230769230769232,0.391304347826087,69
dual4,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
dual4,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
dual4,wikitactics,0.3384615384615385,0.8148148148148148,0.4782608695652174,0.22580645161290322,0.37662337662337664,77
dual4,All,0.31149166094218034,0.9261410508050293,0.4608547938835521,0.24936270577187383,0.3826515910914887,395
dual5,ceri,0.25,0.9375,0.39473684210526316,0.17857142857142858,0.30303030303030304,66
dual5,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
dual5,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.19230769230769232,0.391304347826087,69
dual5,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
dual5,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
dual5,wikitactics,0.3384615384615385,0.8148148148148148,0.4782608695652174,0.22580645161290322,0.37662337662337664,77
dual5,All,0.31149166094218034,0.9261410508050293,0.4608547938835521,0.24936270577187383,0.3826515910914887,395
