Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.2765957446808511,0.8125,0.4126984126984127,0.44776119402985076,0.4307692307692308,65
dual1,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
dual1,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
dual1,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
dual1,whow,0.3275862068965517,0.9047619047619048,0.4810126582278481,0.22641509433962265,0.3787878787878788,66
dual1,wikitactics,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.7368421052631579,0.6875,80
dual1,All,0.3434024074291003,0.7820668246905734,0.46582162585910897,0.43537732078554076,0.4755122381880694,398
dual2,ceri,0.2765957446808511,0.8125,0.4126984126984127,0.44776119402985076,0.4307692307692308,65
dual2,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
dual2,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
dual2,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
dual2,whow,0.3275862068965517,0.9047619047619048,0.4810126582278481,0.22641509433962265,0.3787878787878788,66
dual2,wikitactics,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.7368421052631579,0.6875,80
dual2,All,0.3434024074291003,0.7820668246905734,0.46582162585910897,0.43537732078554076,0.4755122381880694,398
dual3,ceri,0.2765957446808511,0.8125,0.4126984126984127,0.44776119402985076,0.4307692307692308,65
dual3,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
dual3,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
dual3,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
dual3,whow,0.3275862068965517,0.9047619047619048,0.4810126582278481,0.22641509433962265,0.3787878787878788,66
dual3,wikitactics,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.7368421052631579,0.6875,80
dual3,All,0.3434024074291003,0.7820668246905734,0.46582162585910897,0.43537732078554076,0.4755122381880694,398
dual4,ceri,0.2765957446808511,0.8125,0.4126984126984127,0.44776119402985076,0.4307692307692308,65
dual4,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
dual4,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
dual4,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
dual4,whow,0.3275862068965517,0.9047619047619048,0.4810126582278481,0.22641509433962265,0.3787878787878788,66
dual4,wikitactics,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.7368421052631579,0.6875,80
dual4,All,0.3434024074291003,0.7820668246905734,0.46582162585910897,0.43537732078554076,0.4755122381880694,398
dual5,ceri,0.2765957446808511,0.8125,0.4126984126984127,0.44776119402985076,0.4307692307692308,65
dual5,fora,0.4027777777777778,0.9354838709677419,0.5631067961165048,0.3076923076923077,0.4642857142857143,84
dual5,iq2,0.32142857142857145,0.75,0.45,0.2413793103448276,0.36231884057971014,69
dual5,umod,0.17647058823529413,0.6,0.2727272727272727,0.6521739130434783,0.5294117647058824,34
dual5,whow,0.3275862068965517,0.9047619047619048,0.4810126582278481,0.22641509433962265,0.3787878787878788,66
dual5,wikitactics,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.7368421052631579,0.6875,80
dual5,All,0.3434024074291003,0.7820668246905734,0.46582162585910897,0.43537732078554076,0.4755122381880694,398
