Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.28,0.4666666666666667,0.35,0.7111111111111111,0.6,65
dual1,fora,0.42,0.7241379310344828,0.5316455696202531,0.5432098765432098,0.5375,80
dual1,iq2,0.2962962962962963,0.3333333333333333,0.3137254901960784,0.5977011494252874,0.4927536231884058,69
dual1,umod,0.1111111111111111,0.2,0.14285714285714285,0.7777777777777778,0.6470588235294118,34
dual1,whow,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.6363636363636364,66
dual1,wikitactics,0.5,0.10714285714285714,0.17647058823529413,0.7704918032786885,0.6410256410256411,78
dual1,All,0.33932980599647267,0.3766420361247947,0.3238783699133662,0.6889375085782347,0.5924502873511824,392
dual2,ceri,0.28,0.4666666666666667,0.35,0.7111111111111111,0.6,65
dual2,fora,0.42,0.7241379310344828,0.5316455696202531,0.5432098765432098,0.5375,80
dual2,iq2,0.2962962962962963,0.3333333333333333,0.3137254901960784,0.5977011494252874,0.4927536231884058,69
dual2,umod,0.1111111111111111,0.2,0.14285714285714285,0.7777777777777778,0.6470588235294118,34
dual2,whow,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.6363636363636364,66
dual2,wikitactics,0.5,0.10714285714285714,0.17647058823529413,0.7704918032786885,0.6410256410256411,78
dual2,All,0.33932980599647267,0.3766420361247947,0.3238783699133662,0.6889375085782347,0.5924502873511824,392
dual3,ceri,0.28,0.4666666666666667,0.35,0.7111111111111111,0.6,65
dual3,fora,0.42,0.7241379310344828,0.5316455696202531,0.5432098765432098,0.5375,80
dual3,iq2,0.2962962962962963,0.3333333333333333,0.3137254901960784,0.5977011494252874,0.4927536231884058,69
dual3,umod,0.1111111111111111,0.2,0.14285714285714285,0.7777777777777778,0.6470588235294118,34
dual3,whow,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.6363636363636364,66
dual3,wikitactics,0.5,0.10714285714285714,0.17647058823529413,0.7704918032786885,0.6410256410256411,78
dual3,All,0.33932980599647267,0.3766420361247947,0.3238783699133662,0.6889375085782347,0.5924502873511824,392
dual4,ceri,0.28,0.4666666666666667,0.35,0.7111111111111111,0.6,65
dual4,fora,0.42,0.7241379310344828,0.5316455696202531,0.5432098765432098,0.5375,80
dual4,iq2,0.2962962962962963,0.3333333333333333,0.3137254901960784,0.5977011494252874,0.4927536231884058,69
dual4,umod,0.1111111111111111,0.2,0.14285714285714285,0.7777777777777778,0.6470588235294118,34
dual4,whow,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.6363636363636364,66
dual4,wikitactics,0.5,0.10714285714285714,0.17647058823529413,0.7704918032786885,0.6410256410256411,78
dual4,All,0.33932980599647267,0.3766420361247947,0.3238783699133662,0.6889375085782347,0.5924502873511824,392
dual5,ceri,0.28,0.4666666666666667,0.35,0.7111111111111111,0.6,65
dual5,fora,0.42,0.7241379310344828,0.5316455696202531,0.5432098765432098,0.5375,80
dual5,iq2,0.2962962962962963,0.3333333333333333,0.3137254901960784,0.5977011494252874,0.4927536231884058,69
dual5,umod,0.1111111111111111,0.2,0.14285714285714285,0.7777777777777778,0.6470588235294118,34
dual5,whow,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.6363636363636364,66
dual5,wikitactics,0.5,0.10714285714285714,0.17647058823529413,0.7704918032786885,0.6410256410256411,78
dual5,All,0.33932980599647267,0.3766420361247947,0.3238783699133662,0.6889375085782347,0.5924502873511824,392
