Model,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
llama70b,ceri,0.6410256410256411,0.9493670886075949,0.7653061224489796,0.9029535864978903,0.8626865671641791,335
llama70b,fora,0.5714285714285714,0.8296296296296296,0.676737160120846,0.7528868360277137,0.7198952879581152,382
llama70b,iq2,0.41784037558685444,0.7739130434782608,0.5426829268292683,0.6428571428571429,0.5989304812834224,374
llama70b,umod,0.0,0.0,0.0,0.9927710843373494,0.9856459330143541,209
llama70b,whow,0.4759825327510917,0.9008264462809917,0.6228571428571429,0.6507936507936508,0.6373626373626373,364
llama70b,wikitactics,0.4097560975609756,0.6412213740458015,0.5,0.5,0.5,336
llama70b,All,0.4193388697255224,0.6824929303403797,0.5179305587093728,0.7403770500856245,0.7174201511304513,2000
olmo7b,ceri,0.34523809523809523,0.3670886075949367,0.3558282208588957,0.7928994082840237,0.6865671641791045,335
olmo7b,fora,0.2153846153846154,0.1037037037037037,0.14,0.6950354609929078,0.5497382198952879,382
olmo7b,iq2,0.2564102564102564,0.17391304347826086,0.20725388601036268,0.7243243243243244,0.5909090909090909,374
olmo7b,umod,0.0,0.0,0.0,0.9829683698296837,0.9665071770334929,209
olmo7b,whow,0.27419354838709675,0.14049586776859505,0.18579234972677597,0.726605504587156,0.5906593406593407,364
olmo7b,wikitactics,0.3422222222222222,0.5877862595419847,0.43258426966292135,0.36075949367088606,0.39880952380952384,336
olmo7b,All,0.238908122940381,0.22883124701458016,0.22024312104315927,0.7137654269481636,0.6305317527476401,2000
qwen32b,ceri,0.9102564102564102,0.8987341772151899,0.9044585987261147,0.9707602339181286,0.9552238805970149,335
qwen32b,fora,0.8241758241758241,0.5555555555555556,0.6637168141592921,0.8587360594795539,0.8010471204188482,382
qwen32b,iq2,0.8243243243243243,0.5304347826086957,0.6455026455026455,0.8801431127012522,0.820855614973262,374
qwen32b,umod,0.0,0.0,0.0,1.0,1.0,209
qwen32b,whow,0.8142857142857143,0.47107438016528924,0.5968586387434555,0.8566108007448789,0.7884615384615384,364
qwen32b,wikitactics,0.509090909090909,0.21374045801526717,0.3010752688172043,0.7325102880658436,0.6130952380952381,336
qwen32b,All,0.647022197022197,0.4449232255933329,0.5186019943247854,0.8831267491516095,0.829780565424317,2000
llama8b,ceri,0.5503875968992248,0.8987341772151899,0.6826923076923077,0.8571428571428571,0.8029850746268656,335
llama8b,fora,0.5681818181818182,0.7407407407407407,0.6430868167202572,0.7549668874172185,0.7094240837696335,382
llama8b,iq2,0.39444444444444443,0.6173913043478261,0.48135593220338985,0.6622516556291391,0.5909090909090909,374
llama8b,umod,0.0,0.0,0.0,0.9976019184652278,0.9952153110047847,209
llama8b,whow,0.449438202247191,0.6611570247933884,0.5351170568561873,0.675990675990676,0.6181318681318682,364
llama8b,wikitactics,0.4129032258064516,0.48854961832061067,0.44755244755244755,0.5906735751295337,0.5297619047619048,336
llama8b,All,0.395892547929855,0.5677621442362927,0.4649674268374316,0.7564379282957754,0.7077378888673579,2000
qwen7b,ceri,0.8275862068965517,0.6075949367088608,0.7007299270072993,0.9230769230769231,0.8776119402985074,335
qwen7b,fora,0.703125,0.3333333333333333,0.45226130653266333,0.8070796460176991,0.7146596858638743,382
qwen7b,iq2,0.8260869565217391,0.16521739130434782,0.2753623188405797,0.8360655737704918,0.732620320855615,374
qwen7b,umod,0.0,0.0,0.0,1.0,1.0,209
qwen7b,whow,0.7333333333333333,0.18181818181818182,0.2913907284768212,0.8145580589254766,0.7060439560439561,364
qwen7b,wikitactics,0.47619047619047616,0.15267175572519084,0.23121387283236994,0.7334669338677354,0.6041666666666666,336
qwen7b,All,0.5943869954903501,0.2401059331483191,0.3251596922816222,0.852374522609721,0.77251709495477,2000
olmo32b,ceri,0.8452380952380952,0.8987341772151899,0.8711656441717791,0.9585798816568047,0.9373134328358209,335
olmo32b,fora,0.7378640776699029,0.562962962962963,0.6386554621848739,0.8365019011406845,0.774869109947644,382
olmo32b,iq2,0.7088607594936709,0.48695652173913045,0.5773195876288659,0.851985559566787,0.7807486631016043,374
olmo32b,umod,0.0,0.0,0.0,0.9976019184652278,0.9952153110047847,209
olmo32b,whow,0.6987951807228916,0.4793388429752066,0.5686274509803921,0.8320610687022901,0.7582417582417582,364
olmo32b,wikitactics,0.4132231404958678,0.3816793893129771,0.3968253968253968,0.638095238095238,0.5476190476190477,336
olmo32b,All,0.5673302089367381,0.46827864903424454,0.5087655902985512,0.8524709279378389,0.7990012204584432,2000
