,Threshold,Precision,Recall,F1
0,0.0,0.3476,1.0,0.5159
1,0.05,0.3476,1.0,0.5159
2,0.11,0.3477,1.0,0.5159
3,0.16,0.3477,1.0,0.516
4,0.21,0.348,0.9997,0.5163
5,0.26,0.3493,0.996,0.5172
6,0.32,0.3537,0.9825,0.5201
7,0.37,0.3598,0.9449,0.5212
8,0.42,0.3719,0.8741,0.5218
9,0.47,0.3911,0.7604,0.5166
10,0.53,0.4198,0.5341,0.4701
11,0.58,0.4475,0.3176,0.3715
12,0.63,0.4906,0.1511,0.231
13,0.68,0.5568,0.0587,0.1062
14,0.74,0.5707,0.0147,0.0286
15,0.79,0.5818,0.0043,0.0086
16,0.84,0.8333,0.002,0.004
17,0.89,0.6,0.0004,0.0008
18,0.95,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
