,Threshold,Precision,Recall,F1
0,0.0,0.3597,1.0,0.5291
1,0.05,0.3599,0.9999,0.5293
2,0.1,0.3622,0.9986,0.5316
3,0.15,0.3678,0.9935,0.5369
4,0.2,0.3773,0.9834,0.5454
5,0.25,0.3916,0.9643,0.557
6,0.3,0.4089,0.9309,0.5682
7,0.35,0.4303,0.8858,0.5793
8,0.4,0.455,0.8181,0.5848
9,0.45,0.4813,0.736,0.582
10,0.5,0.5058,0.6389,0.5646
11,0.55,0.5278,0.5261,0.527
12,0.6,0.5498,0.4084,0.4687
13,0.65,0.5686,0.2992,0.392
14,0.7,0.594,0.2069,0.3069
15,0.75,0.6176,0.1239,0.2064
16,0.8,0.6437,0.067,0.1214
17,0.85,0.7079,0.0313,0.06
18,0.9,0.8163,0.0112,0.0222
19,0.95,1.0,0.002,0.0039
20,1.0,0.0,0.0,0.0
