,Threshold,Precision,Recall,F1
0,0.0,0.2892,1.0,0.4487
1,0.05,0.3164,0.9956,0.4802
2,0.1,0.3396,0.9934,0.5061
3,0.15,0.3597,0.9737,0.5254
4,0.2,0.3807,0.9562,0.5445
5,0.25,0.4017,0.93,0.5611
6,0.3,0.4226,0.9015,0.5754
7,0.35,0.4524,0.8731,0.596
8,0.4,0.477,0.8381,0.6079
9,0.45,0.5,0.814,0.6195
10,0.5,0.5276,0.7746,0.6277
11,0.55,0.557,0.7374,0.6347
12,0.6,0.5911,0.6958,0.6392
13,0.65,0.6164,0.6433,0.6296
14,0.7,0.6584,0.5777,0.6154
15,0.75,0.6944,0.4923,0.5762
16,0.8,0.7383,0.4136,0.5302
17,0.85,0.7959,0.3414,0.4778
18,0.9,0.8955,0.2626,0.4061
19,0.95,0.8961,0.151,0.2584
20,1.0,0.0,0.0,0.0
