,threshold,precision,recall,f1
0,0.0,0.2682,1.0,0.423
1,0.05,0.2682,1.0,0.423
2,0.1,0.2682,1.0,0.423
3,0.15,0.2682,1.0,0.423
4,0.2,0.269,0.9956,0.4235
5,0.25,0.2745,0.9956,0.4303
6,0.3,0.2792,0.9737,0.434
7,0.35,0.2897,0.9123,0.4397
8,0.4,0.297,0.8246,0.4367
9,0.45,0.3251,0.7544,0.4544
10,0.5,0.3608,0.614,0.4545
11,0.55,0.3792,0.4474,0.4105
12,0.6,0.4129,0.2807,0.3342
13,0.65,0.5063,0.1754,0.2606
14,0.7,0.62,0.136,0.223
15,0.75,0.6061,0.0877,0.1533
16,0.8,0.7059,0.0526,0.098
17,0.85,0.5714,0.0175,0.034
18,0.9,1.0,0.0088,0.0174
19,0.95,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
