,Threshold,Precision,Recall,F1
0,0.0,0.3534,1.0,0.5222
1,0.05,0.3534,1.0,0.5222
2,0.11,0.3534,1.0,0.5222
3,0.16,0.3534,0.9996,0.5222
4,0.21,0.3542,0.9989,0.523
5,0.26,0.3566,0.993,0.5247
6,0.32,0.3636,0.9755,0.5297
7,0.37,0.3714,0.9291,0.5306
8,0.42,0.3832,0.8506,0.5283
9,0.47,0.4002,0.7156,0.5133
10,0.53,0.4213,0.483,0.4501
11,0.58,0.4503,0.287,0.3506
12,0.63,0.4992,0.1302,0.2065
13,0.68,0.5873,0.0474,0.0878
14,0.74,0.6617,0.0125,0.0246
15,0.79,0.8649,0.0046,0.0091
16,0.84,1.0,0.0026,0.0051
17,0.89,1.0,0.0006,0.0011
18,0.95,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
