,Threshold,Precision,Recall,F1
0,0.0,0.2722,1.0,0.4279
1,0.05,0.2724,1.0,0.4281
2,0.11,0.2735,1.0,0.4295
3,0.16,0.2747,0.9951,0.4305
4,0.21,0.2772,0.9877,0.4329
5,0.26,0.2841,0.9657,0.439
6,0.32,0.295,0.9314,0.4481
7,0.37,0.3095,0.8603,0.4553
8,0.42,0.3337,0.8088,0.4724
9,0.47,0.3644,0.7279,0.4857
10,0.53,0.3696,0.5417,0.4394
11,0.58,0.3922,0.3922,0.3922
12,0.63,0.4481,0.2966,0.3569
13,0.68,0.4943,0.2108,0.2955
14,0.74,0.5567,0.1324,0.2139
15,0.79,0.6786,0.0931,0.1638
16,0.84,0.7632,0.0711,0.13
17,0.89,0.88,0.0539,0.1016
18,0.95,1.0,0.0245,0.0478
19,1.0,0.0,0.0,0.0
